,Sample.ID,SpeciesCode,Tree,Core,Terrace,Pygmy,Sample.ID.2,No.Tips,BlastID,Ectomycorrhizal,Trait.ForagingType,Trait.ForagingType.1,Trait.Hydrophobicity,Trait.Rhizomorphs,Trait.HostTree,SequencingNotes,X,X.1,X.2,Alt.ID,Alt.Seq.File,note,note.1,Hydrogen,OM.Pct,OM.lbsperA,Phos.Bray,Phos.Olsen,K,Mg,Ca,Na,Soil.pH,Buffer.Index.pH,CEC.meq,K.sat,Mg.sat,Ca.sat,H.sat,Na.sat,Nitrate,Sulfur
43,T5_4B,73,4,B,5,1,T04-B,1,Phellodon tomentosus (86% match),y,mediumdistancemat,,,y,Picea,10-10E_GenPri,,NA,NA,NA,,,NA,6.5,19.5,421,4,9,82,97,238,20,4.1,6.4,8.8,2.4,9.1,13.6,74,1,1,6
44,T5_4B,37,4,B,5,1,T04-B,1,Phialocephala fortinii,y,,,,,,10-9D_GenPri_Plate9_C08.ab1,,NA,NA,NA,,,NA,6.5,19.5,421,4,9,82,97,238,20,4.1,6.4,8.8,2.4,9.1,13.6,74,1,1,6
45,T5_4B,37,4,B,5,1,T04-B,1,Phialocephala fortinii,y,,,,,,10-9H_GenPri_Plate9_G08.ab1,,NA,NA,NA,,,NA,6.5,19.5,421,4,9,82,97,238,20,4.1,6.4,8.8,2.4,9.1,13.6,74,1,1,6
46,T5_4A,77,4,A,5,1,T04-A,1,Sarcodon fuscoindicus (93% match),y,mediumdistancemat,,,y,Picea,2-8B_4B,,NA,NA,NA,,,NA,2.3,2.8,85,1,8,41,34,102,15,4.2,6.7,3.2,3.2,8.7,15.6,70.4,1.9,1,6
47,T5_4A,9,4,A,5,1,T04-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,2-7E_4B_Plate2_G01.ab1,,NA,NA,NA,,,NA,2.3,2.8,85,1,8,41,34,102,15,4.2,6.7,3.2,3.2,8.7,15.6,70.4,1.9,1,6
48,T5_4B,58,4,B,5,1,T04-B,1,Uncultured Mortierella,y,,,,,,10-10A_GenPri_Plate9_H08.ab1,,NA,NA,NA,,,NA,6.5,19.5,421,4,9,82,97,238,20,4.1,6.4,8.8,2.4,9.1,13.6,74,1,1,6
49,T5_5A,3,5,A,5,1,T05-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-4D_4A,low qual,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
50,T5_5A,40,5,A,5,1,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-3C_GenPri_Plate4_B07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
51,T5_5A,40,5,A,5,1,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-3F_GenPri_Plate4_E07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
52,T5_5A,40,5,A,5,1,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-4E_4B_Plate4_D08.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
53,T5_5A,40,5,A,5,1,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-4F_4B_Plate4_E08.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
54,T5_5B,20,5,B,5,1,T05-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,11-8F_4B_Plate10_H06.ab1,,NA,NA,NA,,,NA,12.5,32.5,680,2,9,89,133,554,21,4,6,16.7,1.4,6.6,16.6,75,0.5,1,9
55,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3A_4B_Rnd2_1_G08_F_2.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
56,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3B_GenPri_Plate4_A07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
57,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3D_4B_Plate4_C06.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
58,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3E_4B_Plate4_D07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
59,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3H_GenPri_Plate4_G07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
60,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4A_GenPri_Plate4_H07.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
61,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4B_GenPri_Plate4_A08.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
62,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4C_4B_Plate4_B08.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
63,T5_5A,19,5,A,5,1,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4G_GenPri_Plate4_F08.ab1,,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
64,T5_5B,26,5,B,5,1,T05-B,1,Leccinum aurantiacum/variicolor/piceinum/manzanitae/pulchrum/vulpinum,y,longdistance,,,y,Betula,11-8B_GenPri_Plate10_D06.ab1,,NA,NA,NA,,,NA,12.5,32.5,680,2,9,89,133,554,21,4,6,16.7,1.4,6.6,16.6,75,0.5,1,9
65,T5_5B,15,5,B,5,1,T05-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,11-8H_GenPri_Plate10_B07.ab1,,NA,NA,NA,,,NA,12.5,32.5,680,2,9,89,133,554,21,4,6,16.7,1.4,6.6,16.6,75,0.5,1,9
66,T5_5A,103,5,A,5,1,T05-A,1,Uncultured Ceratobasidiaceae,y,,,,,,5-3G_GenPri,med qual,NA,NA,NA,,,NA,5.7,14.7,324,4,8,60,86,288,19,4.2,6.5,8.1,1.9,8.8,17.8,70.4,1,1,7
67,T5_5B,32,5,B,5,1,T05-B,1,Uncultured fungus (Basidiomycota),y,,,,,,11-7B_GenPri_Plate10_D05align consensus sequence,,NA,NA,NA,,,NA,12.5,32.5,680,2,9,89,133,554,21,4,6,16.7,1.4,6.6,16.6,75,0.5,1,9
68,T5_6A,97,6,A,5,1,T06-A,1,Aquapoterium pinicola (92% match),y,,,,,,2-5C_GenPri,med qual,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
69,T5_6A,3,6,A,5,1,T06-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,2-6A_GenPri_Rnd2_1_H01_F_2.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
70,T5_6B,45,6,B,5,1,T06-B,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,9-11D_4B_Rnd2_2_B07_F_2.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
71,T5_6B,45,6,B,5,1,T06-B,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,9-12C_GenPri_Plate8_E11.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
72,T5_6B,4,6,B,5,1,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-11C_GenPri_Plate8_F10.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
73,T5_6B,4,6,B,5,1,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-12E_4B_Plate8_G11.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
74,T5_6B,4,6,B,5,1,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-12H_GenPri_Plate8_B12.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
75,T5_6B,39,6,B,5,1,T06-B,1,Meliniomyces variabilis,y,,,,,,9-12A_GenPri_Plate8_C11.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
76,T5_6A,12,6,A,5,1,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5B_GenPri_Plate1_G11.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
77,T5_6A,12,6,A,5,1,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5E_4B_Plate1_B12_2.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
78,T5_6A,12,6,A,5,1,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5H_4B_Plate1_D12.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
79,T5_6B,12,6,B,5,1,T06-B,1,Uncultured Agaricomycetes,y,,,,,,9-12G_4B_Plate8_A12.ab1,,NA,NA,NA,,,NA,4.4,5.4,139,1,12,75,72,115,23,3.8,6.5,5.8,3.3,10.2,9.8,75,1.7,1,5
80,T5_6A,98,6,A,5,1,T06-A,1,Uncultured Helotiales (<90% match),y,,,,,,2-5D_4A_,med qual,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
81,T5_6A,62,6,A,5,1,T06-A,1,Uncultured Helotiales (Aphyllophorales?; <90% match),y,,,,,,2-5G_GenPri_Rnd2_1_G01_F.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
82,T5_6A,62,6,A,5,1,T06-A,1,Uncultured Helotiales (Aphyllophorales?; <90% match),y,,,,,,2-6E_GenPri_Plate2_A01a.ab1,,NA,NA,NA,,,NA,5.4,6.6,163,2,9,74,91,149,29,3.8,6.5,7.2,2.6,10.4,10.3,75,1.7,1,11
83,T4_8A,37,8,A,4,1,T08-A,1,Phialocephala fortinii,y,,,,,,2-4G_GenPri_Plate1_D11_2.ab1,,NA,NA,NA,,,NA,6.8,20.7,443,1,14,102,129,163,28,3.8,6.4,9,2.9,11.7,9,75,1.3,1,9
84,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10_4E_4B_Plate9_F03.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
85,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3B_4B_Plate9_C02.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
86,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3C_4B,low qual,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
87,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3D_GenPri_Plate9_E02.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
88,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3E_GenPri_Plate9_F02.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
89,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3F_GenPri_Plate9_G02.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
90,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3G_4B_Plate9_H02.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
91,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3H_4B_Plate9_A03.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
92,T4_8B,9,8,B,4,1,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-4A_GenPri_Plate9_B03.ab1,,NA,NA,NA,,,NA,9.2,64,***,1,13,95,124,344,24,3.8,6.2,12.3,2,8.3,13.9,75,0.9,3,7
