Sample.ID,SpeciesCode,Tree,Core,Terrace,Sample.ID.2,No.Tips,BlastID,Ectomycorrhizal,Trait.ForagingType,Trait.ForagingType,Trait.Hydrophobicity,Trait.Rhizomorphs,Trait.HostTree,SequencingNotes,,,,Alt ID,Alt Seq File,note,note
T5_1B,3,1,B,5,T01-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,9-7B_4A_Rnd2_3_F08_F_2.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces muricatus (97%),y,shortdistance,,n,n,Picea,9-8C_GenPri,low qual,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1A_GenPri_Plate1_H08_2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1D_GenPri_Rnd2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2B_GenPri_Plate1_D09.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2G_GenPri_Plate1_H09.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7E_GenPri_Plate8_D07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7H_GenPri_Plate8_G07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-8H_GenPri_Plate8_F08.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-7G_GenPri_Plate8_F07.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-8A_4B_Rnd2_2_G04_F_2.ab1,,,,,,,
T5_1B,65,1,B,5,T01-B,1,Uncultured Atheliaceae,y,,,,,,9-7C_GenPri_Plate8_C07.ab1,,,,,,,
T5_1A,8,1,A,5,T01-A,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,2-2H_GenPri_Plate1_A10.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8F_GenPri_Plate8_D08.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8G_GenPri_Plate8_E08.ab1,,,,,,,
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_4B_Plate10_A09.ab1
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_GenPri_Plate1_F09_2.ab1
T5_1A,35,1,A,5,T01-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,2-1E_4A_Rnd2_2_G08_F_2.ab1
T5_2B,3,2,B,5,T02-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,11-2F_GenPri_Plate10_D01.ab1
T5_2A,3,2,A,5,T02-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,6-1B_GenPri_Plate5_E04.ab1
T5_2B,36,2,B,5,T02-B,1,Helotiaceae/Sordariomycetes/Phialophora/Magnaporthaceae,y,,,,,,11-2B_GenPri_Plate9_H12.ab1
T5_2B,5,2,B,5,T02-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,11-2H_GenPri_Plate10_F01.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-1H_GenPri_Plate5_B05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2A_GenPri_Plate5_C05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2B_4B_Plate5_D05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2C_4B_Rnd2.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2D_4B_Plate5_F05.ab1
T5_2A,58,2,A,5,T02-A,1,Uncultured Mortierella,y,,,,,,6-2F_GenPri_Plate5_H05.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10B_GenPri_Plate1_D08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10C_GenPri_Plate1_E08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9E_GenPri_Plate1_G07.ab1
T5_5A,103,5,A,5,T05-A,1,Uncultured Ceratobasidiaceae,y,,,,,,5-3G_GenPri,med qual
T5_5B,32,5,B,5,T05-B,1,Uncultured fungus (Basidiomycota),y,,,,,,11-7B_GenPri_Plate10_D05align consensus sequence,
T5_6A,97,6,A,5,T06-A,1,Aquapoterium pinicola (92% match),y,,,,,,2-5C_GenPri,med qual
T5_6A,3,6,A,5,T06-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,2-6A_GenPri_Rnd2_1_H01_F_2.ab1,
T5_6B,45,6,B,5,T06-B,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,9-11D_4B_Rnd2_2_B07_F_2.ab1,
T5_6B,45,6,B,5,T06-B,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,9-12C_GenPri_Plate8_E11.ab1,
T5_6B,4,6,B,5,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-11C_GenPri_Plate8_F10.ab1,
T5_6B,4,6,B,5,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-12E_4B_Plate8_G11.ab1,
T5_6B,4,6,B,5,T06-B,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,9-12H_GenPri_Plate8_B12.ab1,
T5_6B,39,6,B,5,T06-B,1,Meliniomyces variabilis,y,,,,,,9-12A_GenPri_Plate8_C11.ab1,
T5_6A,12,6,A,5,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5B_GenPri_Plate1_G11.ab1,
T5_6A,12,6,A,5,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5E_4B_Plate1_B12_2.ab1,
T5_6A,12,6,A,5,T06-A,1,Uncultured Agaricomycetes,y,,,,,,2-5H_4B_Plate1_D12.ab1,
T5_6B,12,6,B,5,T06-B,1,Uncultured Agaricomycetes,y,,,,,,9-12G_4B_Plate8_A12.ab1,
T5_6A,98,6,A,5,T06-A,1,Uncultured Helotiales (<90% match),y,,,,,,2-5D_4A_,med qual
T5_6A,62,6,A,5,T06-A,1,Uncultured Helotiales (Aphyllophorales?; <90% match),y,,,,,,2-5G_GenPri_Rnd2_1_G01_F.ab1,
T5_6A,62,6,A,5,T06-A,1,Uncultured Helotiales (Aphyllophorales?; <90% match),y,,,,,,2-6E_GenPri_Plate2_A01a.ab1,
T4_8A,37,8,A,4,T08-A,1,Phialocephala fortinii,y,,,,,,2-4G_GenPri_Plate1_D11_2.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10_4E_4B_Plate9_F03.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3B_4B_Plate9_C02.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3C_4B,low qual
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3D_GenPri_Plate9_E02.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3E_GenPri_Plate9_F02.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3F_GenPri_Plate9_G02.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3G_4B_Plate9_H02.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-3H_4B_Plate9_A03.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-4A_GenPri_Plate9_B03.ab1,
T4_8B,9,8,B,4,T08-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,10-4B_4B_Plate9_C03.ab1,
T4_8A,12,8,A,4,T08-A,1,Uncultured Agaricomycetes,y,,,,,,2-4E_GenPri_Plate1_C11_2.ab1,
T4_8B,34,8,B,4,T08-B,1,Uncultured Ascomycota (likely Oidiodendron),y,,,,,,10-4G_GenPri_Plate9_H03 consensus sequence,
T4_8B,34,8,B,4,T08-B,1,Uncultured Ascomycota (likely Oidiodendron),y,,,,,,10-4G_GenPri_Plate9_H03a.ab1,
T4_8A,96,8,A,4,T08-A,1,Uncultured Helotiales (91% match),y,,,,,,2-4H_GenPri,med qual
T4_9B,56,9,B,4,T09-B,1,Cortinarius vibratilis,y,mediumdistancefringe,,y,y,Pinus,7-6G_4B_Rnd2_2_G01_F_2.ab1,
T4_9B,56,9,B,4,T09-B,1,Cortinarius vibratilis (<97%),y,mediumdistancefringe,,y,y,Pinus,7-5F_4B,low qual
T4_9A,28,9,A,4,T09-A,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,2-12B_GenPri_Plate2_A06.ab1,
T4_9B,9,9,B,4,T09-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,7-5A_GenPri_Plate6_B07.ab1,
T4_9B,9,9,B,4,T09-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,7-5C_GenPri,
T4_9A,14,9,A,4,T09-A,1,Uncultured Atheliaceae,y,,,,,,2-11A_4A_Rnd2_2_B10_F.ab1,
T4_9B,148,9,B,4,T09-B,1,Uncultured ectomycorrhiza (<90%; poss. Dermocybe crocea),y,mediumdistancefringe,,y,y,Pinus,7-6A_GenPRi,low qual
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11C_4B_Rnd2_1_H06_F_2.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11E_4B_Plate2_D05a.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11F_GenPri_Plate2_E05.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11G_4A_Rnd2_2_C10_F_2.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11G_4B_Rnd2_2_E07_F_2.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11G_GenPri_Rnd2_1_D02_F.ab1,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-11H_GenPri_Plate2_G05 consensus sequence,
T4_9A,18,9,A,4,T09-A,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,2-12F_4B_Rnd2.ab1,,,,64,1-1D_GenPri_Plate1_D01_2.ab1
T4_9B,18,9,B,4,T09-B,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,7-5B_GenPri_Plate6_C07.ab1,,,,,
T4_9B,18,9,B,4,T09-B,1,Uncultured ectomycorrhiza (Dermocybe),y,mediumdistancefringe,,y,y,Pinus,7-6B_4B_Rnd2_2_C01_F_2.ab1,,,,,
T4_9A,32,9,A,4,T09-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-12D_GenPri_Plate2_C06.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-7A_GenPri_Plate4_H10.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-7E_GenPri_Plate4_D11.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-7F_GenPri_Plate4_E11.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-7G_GenPri_Plate4_F11.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-8B_4B_Rnd2_1_D09_F.ab1,,,,,
T4_10A,4,10,A,4,T10-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,5-8D_GenPri_Plate4_B12.ab1,,,,,
T4_10A,20,10,A,4,T10-A,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,5-7B_GenPri_Plate4_A11.ab1,,,,,
T4_10A,20,10,A,4,T10-A,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,5-8F_GenPri_Plate4_D12.ab1,,,,,
T4_10A,20,10,A,4,T10-A,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,5-8G_GenPri_Plate4_E12.ab1,,,,,
T4_10B,37,10,B,4,T10-B,1,Phialocephala fortinii,y,,,,,,11-6A_GenPri_Plate10_D04align consensus sequence,,,,,
T4_10B,15,10,B,4,T10-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,11-5G_4B_Rnd2_2_G06_F_2.ab1,,,,,
T4_10B,14,10,B,4,T10-B,1,Uncultured Atheliaceae,y,,,,,,11-6E_4A_Rnd2_3_B12_F_2.ab1,,,,,
T4_10B,41,10,B,4,T10-B,1,Uncultured Cortinarius (likely acutus),y,mediumdistancefringe,,y,y,Pinus,11-6G_4B_Plate10_B05.ab1
T4_10A,41,10,A,4,T10-A,1,Uncultured Cortinarius (likely acutus),y,mediumdistancefringe,,y,y,Pinus,5-8E_4B_Rnd2_1_H04_F.ab1
T4_10A,41,10,A,4,T10-A,1,Uncultured Cortinarius (likely acutus),y,mediumdistancefringe,,y,y,Pinus,5-8E_GenPri_Plate4_C12.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-3E_GenPri_Plate1_D03_2.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-3H_4A_Rnd2_2_B08_F.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-4A_GenPri_Plate1_A04.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-4B_GenPri_Plate1_H03.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-4C_GenPri_Plate1_B04.ab1
T4_11A,3,11,A,4,T11-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,1-4H_GenPri_Plate1_F04.ab1
T4_11B,3,11,B,4,T11-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,10-11H_GenPri_Plate9_F10.ab1
T4_11B,3,11,B,4,T11-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,10-12G_4A_Rnd2_3_A11_F_2.ab1
T4_11A,71,11,A,4,T11-A,1,Hygrophorus erubescens,y,mediumdistancefringe,shortdistance,n,m,Picea,1-4D_GenPri
T4_11B,65,11,B,4,T11-B,1,Uncultured Atheliaceae,y,,,,,,10-12B_GenPri_Plate9_H10.ab1
T4_11B,47,11,B,4,T11-B,1,Uncultured fungus (JN889939),y,,,,,,10-11B_4B_Plate9_H09.ab1
T4_11B,47,11,B,4,T11-B,1,Uncultured fungus (JN889939),y,,,,,,10-12A_4B_Plate9_G10.ab1
T4_12A,3,12,A,4,T12-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,3-3H_GenPri_Plate2_D09a.ab1
T4_12A,3,12,A,4,T12-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,3-4B_GenPri_Plate2_F09.ab1
T4_12A,4,12,A,4,T12-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-4A_4B_Plate2_E09.ab1
T4_12A,4,12,A,4,T12-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-4G_4B_Plate2_C10a.ab1
T4_12A,4,12,A,4,T12-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-4H_4B_Plate2_D10.ab1
T4_12B,20,12,B,4,T12-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,9-9F_GenPri_Plate8_C09.ab1
T4_12A,51,12,A,4,T12-A,1,Oidiodendron pilicola,y,,,,,,3-4C_GenPri_Plate2_G09a.ab1
T4_12A,28,12,A,4,T12-A,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-3F_GenPri_Plate2_B09a.ab1
